spec,site
56,41AN13
63,41AN13
66,41AN13
70,41AN13
72,41AN13
74,41AN13
75,41AN13
76,41AN13
77,41AN13
78,41AN13
79,41AN13
80,41AN13
81,41AN13
1564,41AN13
hs01,41HS261
hs02,41HS261
hs03,41HS261
hs04,41HS261
hs05,41HS261
hs06,41HS261
hs07,41HS261
hs09,41HS261
hs10,41HS261
hs11,41HS261
hs12,41HS261
hs13,41HS261
hs14,41HS261
hs15,41HS261
hs16,41HS261
hs17,41HS261
hs18,41HS261
hs19,41HS261
hs21,41HS261
hs22,41HS261
hs23,41HS261
hs24,41HS261
hs25,41HS261
hs26,41HS261
hs27,41HS261
hs28,41HS261
